,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
862,1,1,female,0.7483485372758729,0,0,0.3741587301587302,S,First,woman,False,Southampton,yes,True,0
864,0,2,male,0.3708713431896823,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
865,1,2,female,0.6539792387543253,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
866,1,2,female,0.4180559924504561,1,0,0.19997546897546897,C,Second,woman,False,Cherbourg,yes,False,1
867,0,1,male,0.4809688581314879,0,0,0.7286551226551227,S,First,man,True,Southampton,no,True,0
869,1,3,male,0.056307014784523435,1,1,0.16065367965367966,S,Third,child,False,Southampton,yes,False,2
871,1,1,female,0.732620320855615,1,1,0.7583578643578643,S,First,woman,False,Southampton,yes,False,2
872,0,1,male,0.5124252909720037,0,0,0.07215007215007214,S,First,man,True,Southampton,no,True,0
873,0,3,male,0.732620320855615,0,0,0.12987012987012986,S,Third,man,True,Southampton,no,True,0
874,1,2,female,0.43378420887071406,1,0,0.3463203463203463,C,Second,woman,False,Cherbourg,yes,False,1
875,1,3,female,0.2293173954073608,0,0,0.10425685425685426,C,Third,child,False,Cherbourg,yes,True,0
876,0,3,male,0.3079584775086505,0,0,0.14207503607503608,S,Third,man,True,Southampton,no,True,0
880,1,2,female,0.38659955960994025,0,1,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,1
881,0,3,male,0.5124252909720037,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
882,0,3,female,0.3394149103491664,0,0,0.15175613275613276,S,Third,woman,False,Southampton,no,True,0
883,0,2,male,0.43378420887071406,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
885,0,3,female,0.6067945894935515,0,5,0.4202741702741703,Q,Third,woman,False,Queenstown,no,False,5
887,1,1,female,0.29223026108839256,0,0,0.4329004329004329,S,First,woman,False,Southampton,yes,True,0
889,1,1,male,0.4023277760301982,0,0,0.4329004329004329,C,First,man,True,Cherbourg,yes,True,0
890,0,3,male,0.49669707455174583,0,0,0.11183261183261184,Q,Third,man,True,Queenstown,no,True,0
